datetime,demand_mw
2022-01-01 00:00:00,31826.58
2022-01-01 01:00:00,30408.36
2022-01-01 02:00:00,31739.58
2022-01-01 03:00:00,31808.11
2022-01-01 04:00:00,29361.1
2022-01-01 05:00:00,30026.65
2022-01-01 06:00:00,31451.6
2022-01-01 07:00:00,31364.69
2022-01-01 08:00:00,31971.12
2022-01-01 09:00:00,31649.57
2022-01-01 10:00:00,33522.22
2022-01-01 11:00:00,33819.49
2022-01-01 12:00:00,33555.55
2022-01-01 13:00:00,34732.81
2022-01-01 14:00:00,34362.68
2022-01-01 15:00:00,33327.97
2022-01-01 16:00:00,34360.96
2022-01-01 17:00:00,33118.45
2022-01-01 18:00:00,34470.75
2022-01-01 19:00:00,33391.06
2022-01-01 20:00:00,32924.47
2022-01-01 21:00:00,32113.56
2022-01-01 22:00:00,33331.43
2022-01-01 23:00:00,31777.28
2022-01-02 00:00:00,31160.5
2022-01-02 01:00:00,30950.04
2022-01-02 02:00:00,31511.17
2022-01-02 03:00:00,31276.26
2022-01-02 04:00:00,31327.3
2022-01-02 05:00:00,31456.7
2022-01-02 06:00:00,33120.34
2022-01-02 07:00:00,31245.05
2022-01-02 08:00:00,31507.0
2022-01-02 09:00:00,31639.95
2022-01-02 10:00:00,33255.32
2022-01-02 11:00:00,34075.0
2022-01-02 12:00:00,33359.57
2022-01-02 13:00:00,33017.52
2022-01-02 14:00:00,33221.49
2022-01-02 15:00:00,34568.38
2022-01-02 16:00:00,34636.29
2022-01-02 17:00:00,34352.18
2022-01-02 18:00:00,33115.39
2022-01-02 19:00:00,33587.84
2022-01-02 20:00:00,33137.79
2022-01-02 21:00:00,32835.23
2022-01-02 22:00:00,32989.99
2022-01-02 23:00:00,32055.69
2022-01-03 00:00:00,34160.68
2022-01-03 01:00:00,33365.82
2022-01-03 02:00:00,33363.48
2022-01-03 03:00:00,33561.26
2022-01-03 04:00:00,31796.93
2022-01-03 05:00:00,32877.81
2022-01-03 06:00:00,32959.15
2022-01-03 07:00:00,33106.49
2022-01-03 08:00:00,33767.56
2022-01-03 09:00:00,35661.39
2022-01-03 10:00:00,34054.81
2022-01-03 11:00:00,35997.44
2022-01-03 12:00:00,34085.02
2022-01-03 13:00:00,35506.03
2022-01-03 14:00:00,36119.67
2022-01-03 15:00:00,36572.69
2022-01-03 16:00:00,36668.1
2022-01-03 17:00:00,36623.88
2022-01-03 18:00:00,35443.68
2022-01-03 19:00:00,35056.53
2022-01-03 20:00:00,35826.91
2022-01-03 21:00:00,34545.77
2022-01-03 22:00:00,33223.97
2022-01-03 23:00:00,32961.37
2022-01-04 00:00:00,32763.18
2022-01-04 01:00:00,33692.07
2022-01-04 02:00:00,33199.9
2022-01-04 03:00:00,33572.68
2022-01-04 04:00:00,32633.45
2022-01-04 05:00:00,33245.4
2022-01-04 06:00:00,33851.82
2022-01-04 07:00:00,33347.69
2022-01-04 08:00:00,34350.8
2022-01-04 09:00:00,33789.15
2022-01-04 10:00:00,34443.27
2022-01-04 11:00:00,34811.03
2022-01-04 12:00:00,34460.1
2022-01-04 13:00:00,36165.72
2022-01-04 14:00:00,35543.45
2022-01-04 15:00:00,36046.13
2022-01-04 16:00:00,36433.3
2022-01-04 17:00:00,36290.19
2022-01-04 18:00:00,36266.78
2022-01-04 19:00:00,35326.92
2022-01-04 20:00:00,34698.93
2022-01-04 21:00:00,34601.72
2022-01-04 22:00:00,32835.17
2022-01-04 23:00:00,32655.72
2022-01-05 00:00:00,32383.64
2022-01-05 01:00:00,32385.05
2022-01-05 02:00:00,33381.87
2022-01-05 03:00:00,32179.33
2022-01-05 04:00:00,32638.4
2022-01-05 05:00:00,34178.21
2022-01-05 06:00:00,32980.47
2022-01-05 07:00:00,34200.75
2022-01-05 08:00:00,33132.19
2022-01-05 09:00:00,34140.39
2022-01-05 10:00:00,33907.58
2022-01-05 11:00:00,34810.56
2022-01-05 12:00:00,36154.05
2022-01-05 13:00:00,34246.79
2022-01-05 14:00:00,36274.92
2022-01-05 15:00:00,36200.81
2022-01-05 16:00:00,35482.86
2022-01-05 17:00:00,34644.71
2022-01-05 18:00:00,35725.74
2022-01-05 19:00:00,34923.79
2022-01-05 20:00:00,35219.74
2022-01-05 21:00:00,34651.28
2022-01-05 22:00:00,35594.14
2022-01-05 23:00:00,33645.54
2022-01-06 00:00:00,32603.35
2022-01-06 01:00:00,33350.48
2022-01-06 02:00:00,33194.45
2022-01-06 03:00:00,34069.69
2022-01-06 04:00:00,33635.07
2022-01-06 05:00:00,33342.59
2022-01-06 06:00:00,34492.49
2022-01-06 07:00:00,32528.8
2022-01-06 08:00:00,33347.36
2022-01-06 09:00:00,33492.82
2022-01-06 10:00:00,34349.15
2022-01-06 11:00:00,33893.94
2022-01-06 12:00:00,35945.06
2022-01-06 13:00:00,35491.52
2022-01-06 14:00:00,34620.87
2022-01-06 15:00:00,35100.88
2022-01-06 16:00:00,36219.76
2022-01-06 17:00:00,36551.66
2022-01-06 18:00:00,37327.04
2022-01-06 19:00:00,37816.03
2022-01-06 20:00:00,35339.6
2022-01-06 21:00:00,33756.99
2022-01-06 22:00:00,32385.78
2022-01-06 23:00:00,34041.94
2022-01-07 00:00:00,32749.92
2022-01-07 01:00:00,32812.64
2022-01-07 02:00:00,32454.76
2022-01-07 03:00:00,32762.3
2022-01-07 04:00:00,33798.9
2022-01-07 05:00:00,33140.34
2022-01-07 06:00:00,33081.44
2022-01-07 07:00:00,32626.54
2022-01-07 08:00:00,32435.27
2022-01-07 09:00:00,33834.64
2022-01-07 10:00:00,34602.36
2022-01-07 11:00:00,36534.46
2022-01-07 12:00:00,35483.51
2022-01-07 13:00:00,36483.33
2022-01-07 14:00:00,35414.25
2022-01-07 15:00:00,34924.52
2022-01-07 16:00:00,35100.52
2022-01-07 17:00:00,35190.4
2022-01-07 18:00:00,37406.61
2022-01-07 19:00:00,34608.67
2022-01-07 20:00:00,35667.66
2022-01-07 21:00:00,33798.2
2022-01-07 22:00:00,34957.45
2022-01-07 23:00:00,34109.18
2022-01-08 00:00:00,31177.62
2022-01-08 01:00:00,31000.88
2022-01-08 02:00:00,30288.32
2022-01-08 03:00:00,31130.98
2022-01-08 04:00:00,30375.92
2022-01-08 05:00:00,29834.92
2022-01-08 06:00:00,29999.87
2022-01-08 07:00:00,31523.38
2022-01-08 08:00:00,33070.81
2022-01-08 09:00:00,32253.83
2022-01-08 10:00:00,32417.07
2022-01-08 11:00:00,33144.51
2022-01-08 12:00:00,34352.71
2022-01-08 13:00:00,33704.31
2022-01-08 14:00:00,33359.2
2022-01-08 15:00:00,34741.9
2022-01-08 16:00:00,34155.15
2022-01-08 17:00:00,34982.08
2022-01-08 18:00:00,33623.0
2022-01-08 19:00:00,32135.89
2022-01-08 20:00:00,31661.85
2022-01-08 21:00:00,33838.82
2022-01-08 22:00:00,33500.57
2022-01-08 23:00:00,31499.22
2022-01-09 00:00:00,30957.17
2022-01-09 01:00:00,32249.88
2022-01-09 02:00:00,29876.01
2022-01-09 03:00:00,29963.41
2022-01-09 04:00:00,31281.61
2022-01-09 05:00:00,30513.39
2022-01-09 06:00:00,31053.88
2022-01-09 07:00:00,31209.88
2022-01-09 08:00:00,31987.64
2022-01-09 09:00:00,33286.32
2022-01-09 10:00:00,32567.03
2022-01-09 11:00:00,33421.02
2022-01-09 12:00:00,31472.08
2022-01-09 13:00:00,33448.55
2022-01-09 14:00:00,32963.86
2022-01-09 15:00:00,32737.68
2022-01-09 16:00:00,33016.4
2022-01-09 17:00:00,33364.8
2022-01-09 18:00:00,34217.89
2022-01-09 19:00:00,32021.37
2022-01-09 20:00:00,32822.94
2022-01-09 21:00:00,31996.1
2022-01-09 22:00:00,31729.05
2022-01-09 23:00:00,32476.28
2022-01-10 00:00:00,33814.71
2022-01-10 01:00:00,34218.87
2022-01-10 02:00:00,32760.1
2022-01-10 03:00:00,32206.81
2022-01-10 04:00:00,32618.93
2022-01-10 05:00:00,33129.36
2022-01-10 06:00:00,33282.75
2022-01-10 07:00:00,32501.5
2022-01-10 08:00:00,33852.05
2022-01-10 09:00:00,34358.38
2022-01-10 10:00:00,36704.32
2022-01-10 11:00:00,36543.42
2022-01-10 12:00:00,34563.9
2022-01-10 13:00:00,35320.11
2022-01-10 14:00:00,34511.11
2022-01-10 15:00:00,35346.0
2022-01-10 16:00:00,36105.52
2022-01-10 17:00:00,36748.21
2022-01-10 18:00:00,34894.08
2022-01-10 19:00:00,34667.21
2022-01-10 20:00:00,33046.14
2022-01-10 21:00:00,34343.81
2022-01-10 22:00:00,33178.95
2022-01-10 23:00:00,33248.34
2022-01-11 00:00:00,32588.75
2022-01-11 01:00:00,32978.73
2022-01-11 02:00:00,31374.14
2022-01-11 03:00:00,31528.15
2022-01-11 04:00:00,34595.84
2022-01-11 05:00:00,31805.7
2022-01-11 06:00:00,32177.17
2022-01-11 07:00:00,34961.38
2022-01-11 08:00:00,36221.22
2022-01-11 09:00:00,33145.33
2022-01-11 10:00:00,34228.23
2022-01-11 11:00:00,35215.2
2022-01-11 12:00:00,36735.33
2022-01-11 13:00:00,34702.33
2022-01-11 14:00:00,35523.32
2022-01-11 15:00:00,36485.62
2022-01-11 16:00:00,36183.58
2022-01-11 17:00:00,35380.27
2022-01-11 18:00:00,35376.83
2022-01-11 19:00:00,34031.35
2022-01-11 20:00:00,34645.66
2022-01-11 21:00:00,34232.42
2022-01-11 22:00:00,34256.12
2022-01-11 23:00:00,33203.11
2022-01-12 00:00:00,33714.03
2022-01-12 01:00:00,33898.81
2022-01-12 02:00:00,32979.47
2022-01-12 03:00:00,33053.27
2022-01-12 04:00:00,32810.31
2022-01-12 05:00:00,32879.22
2022-01-12 06:00:00,32475.26
2022-01-12 07:00:00,33648.17
2022-01-12 08:00:00,33648.36
2022-01-12 09:00:00,35899.5
2022-01-12 10:00:00,35857.74
2022-01-12 11:00:00,35231.99
2022-01-12 12:00:00,34596.48
2022-01-12 13:00:00,34574.76
2022-01-12 14:00:00,36723.42
2022-01-12 15:00:00,36027.36
2022-01-12 16:00:00,36201.3
2022-01-12 17:00:00,34196.25
2022-01-12 18:00:00,36258.04
2022-01-12 19:00:00,35565.41
2022-01-12 20:00:00,33883.38
2022-01-12 21:00:00,34037.2
2022-01-12 22:00:00,34262.08
2022-01-12 23:00:00,33698.88
2022-01-13 00:00:00,33046.42
